Año,Mes,Region,Frecuencia,fuente
2018,Diciembre,Región de Arica y Parinacota,1,CEAD
2018,Diciembre,Región de Tarapacá,0,CEAD
2018,Diciembre,Región de Antofagasta,3,CEAD
2018,Diciembre,Región de Atacama,1,CEAD
2018,Diciembre,Región de Coquimbo,1,CEAD
2018,Diciembre,Región de Valparaíso,6,CEAD
2018,Diciembre,Región Metropolitana de Santiago,29,CEAD
2018,Diciembre,Región del Libertador Gral. Bernardo O’Higgins,2,CEAD
2018,Diciembre,Región del Maule,3,CEAD
2018,Diciembre,Región de Ñuble,2,CEAD
2018,Diciembre,Región del Biobío,5,CEAD
2018,Diciembre,Región de La Araucanía,0,CEAD
2018,Diciembre,Región de Los Ríos,1,CEAD
2018,Diciembre,Región de Los Lagos,3,CEAD
2018,Diciembre,Región de Aysén del Gral. Carlos Ibáñez del Campo,2,CEAD
2018,Diciembre,Región de Magallanes y de la Antártica Chilena,0,CEAD
